timestamp,rssi_dbm,quality,phase
1788935180.3720012,-59.0,1.0,unconfirmed
1788935180.8696678,-58.0,1.0,unconfirmed
1788935181.3849611,-59.0,1.0,unconfirmed
1788935181.900498,-58.0,1.0,unconfirmed
1788935182.4138799,-58.0,1.0,unconfirmed
1788935182.9282591,-58.0,1.0,unconfirmed
1788935183.4418824,-59.0,1.0,unconfirmed
1788935183.9372354,-58.0,1.0,unconfirmed
1788935184.4436479,-59.0,1.0,unconfirmed
1788935184.9544506,-58.0,1.0,unconfirmed
1788935185.4454758,-59.0,1.0,unconfirmed
1788935185.9444556,-61.0,1.0,unconfirmed
1788935186.441266,-60.0,1.0,unconfirmed
1788935186.942696,-58.0,1.0,unconfirmed
1788935187.4606361,-58.0,1.0,unconfirmed
1788935187.9866002,-58.0,1.0,unconfirmed
1788935188.4622579,-59.0,1.0,unconfirmed
1788935188.9846692,-59.0,1.0,unconfirmed
1788935189.477081,-58.0,1.0,unconfirmed
1788935189.9800103,-59.0,1.0,unconfirmed
1788935190.482331,-58.0,1.0,unconfirmed
1788935191.0119503,-58.0,1.0,unconfirmed
1788935191.5158446,-58.0,1.0,unconfirmed
1788935192.0371666,-59.0,1.0,unconfirmed
1788935192.539856,-59.0,1.0,unconfirmed
1788935193.0521533,-59.0,1.0,unconfirmed
1788935193.5594442,-59.0,1.0,unconfirmed
1788935194.0785687,-59.0,1.0,unconfirmed
1788935194.6315746,-59.0,1.0,unconfirmed
1788935195.1161418,-60.0,1.0,unconfirmed
1788935195.5939183,-59.0,1.0,unconfirmed
1788935196.1008472,-61.0,1.0,unconfirmed
1788935196.6296918,-60.0,1.0,unconfirmed
1788935197.118037,-58.0,1.0,unconfirmed
1788935197.6346374,-59.0,1.0,unconfirmed
1788935198.1644,-59.0,1.0,unconfirmed
1788935198.629716,-60.0,1.0,unconfirmed
1788935199.1375268,-59.0,1.0,unconfirmed
1788935199.6598437,-60.0,1.0,unconfirmed
1788935200.1450298,-59.0,1.0,unconfirmed
1788935200.6416621,-59.0,1.0,unconfirmed
1788935201.1548188,-59.0,1.0,unconfirmed
1788935201.66933,-61.0,1.0,unconfirmed
1788935202.189394,-59.0,1.0,unconfirmed
1788935202.6872926,-60.0,1.0,unconfirmed
1788935203.2083397,-60.0,1.0,unconfirmed
1788935203.7048728,-58.0,1.0,unconfirmed
1788935204.250459,-60.0,1.0,unconfirmed
